Model,Condition_Row,Condition_Col,dCor_Sq
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.44040325574409656
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.008994569532589576
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.5431735811313432
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3043268767690695
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.902997646666238
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.008994569532589576
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.7852209619237662
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.43769629735538595
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3774939861840615
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.44040325574409656
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.008994569532589576
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.2211203304827845
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.12034807573804486
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.5285435513171769
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.35382890764116354
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.7853525710534345
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3067097227758017
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.31906425053223614
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.44040325574409656
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.008994569532589576
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3872007760304994
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.19086393681351876
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.7748755670353825
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.47210640329238535
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.8494151814131119
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3502893399161387
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3798820336861677
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3898771496845136
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4392486976315932
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.009680643549249834
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.20981415464180114
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.12571405367976982
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.8546358410514385
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.37110110794302076
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.01040798762979868
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.011946890839727104
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0030526626511038803
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.014640228019725752
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.35402910990511327
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.38251899765254144
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.3351293372116633
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.1602248410061015
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.4684668978825405
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.2722286470177447
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.01639769864808095
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.37084568414395946
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.35438000538519915
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.24048585735966338
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.44040325574409656
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.22262849943556368
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.008994569532590082
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.32208160278404685
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.454535742366169
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4084137035181427
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.2701043751041642
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4200356704727168
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.21751984181748985
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.009680643549250082
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.36411019408127837
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4074311573652121
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.33355418086951294
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.2234296652845008
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.3774939861840606
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.2309667427744029
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4545357423661678
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4509160275155247
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.4098839665585877
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.2315457885760087
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.44040325574409656
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.25622604812229977
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.008994569532590082
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.0
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.33734767899089707
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.36646807955697386
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.2605887455029749
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.0
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.00019214031942924904
o3,On the Same Rubric Item,Human-LLM Correlations,0.9999999999999961
o3,On the Same Rubric Item,Human-LLM Correlations,0.6149861813430203
o3,On the Same Rubric Item,Human-LLM Correlations,0.4278799182720946
o3,On the Same Rubric Item,Human-LLM Correlations,0.006789635890694415
o3,On the Same Rubric Item,Human-LLM Correlations,0.9999999999999961
o3,On the Same Rubric Item,Human-LLM Correlations,0.723955478560782
o3,On the Same Rubric Item,Human-LLM Correlations,0.45197134112131426
o3,On the Same Rubric Item,Human-LLM Correlations,0.0
o3,On the Same Rubric Item,Human-LLM Correlations,0.9999999999999961
o3,On the Same Rubric Item,Human-LLM Correlations,0.8009812191317935
o3,On the Same Rubric Item,Human-LLM Correlations,0.45990211997840824
o3,On the Same Rubric Item,Human-LLM Correlations,0.008594871814142984
o3,On the Same Rubric Item,Human-LLM Correlations,0.975375551294652
o3,On the Same Rubric Item,Human-LLM Correlations,0.7245426879848551
o3,On the Same Rubric Item,Human-LLM Correlations,0.4265054613951035
o3,On the Same Rubric Item,Human-LLM Correlations,0.014349885787470635
o3,On the Same Rubric Item,Human-LLM Correlations,0.9093531090413056
o3,On the Same Rubric Item,Human-LLM Correlations,0.7983329816342835
o3,On the Same Rubric Item,Human-LLM Correlations,0.5483509333628591
o3,On the Same Rubric Item,Human-LLM Correlations,0.04237185211074665
o3,On the Same Rubric Item,Between-LLMs Correlations,0.902997646666238
o3,On the Same Rubric Item,Between-LLMs Correlations,0.6243548947577695
o3,On the Same Rubric Item,Between-LLMs Correlations,0.644162306720274
o3,On the Same Rubric Item,Between-LLMs Correlations,0.5690141500788366
o3,On the Same Rubric Item,Between-LLMs Correlations,0.975375551294652
o3,On the Same Rubric Item,Between-LLMs Correlations,0.7605553571773317
o3,On the Same Rubric Item,Between-LLMs Correlations,0.52904208089099
o3,On the Same Rubric Item,Between-LLMs Correlations,0.946692355041691
o3,On the Same Rubric Item,Between-LLMs Correlations,0.8798046972763413
o3,On the Same Rubric Item,Between-LLMs Correlations,0.7401066106722594
o3,On the Same Rubric Item,Between-LLMs Correlations,0.7789754673125688
o3,On the Same Rubric Item,Between-LLMs Correlations,0.6611094019172064
o3,On the Same Rubric Item,Between-LLMs Correlations,0.9999999999999961
o3,On the Same Rubric Item,Between-LLMs Correlations,0.5801821223757796
o3,On the Same Rubric Item,Between-LLMs Correlations,0.6617251587512019
o3,On the Same Rubric Item,Between-LLMs Correlations,0.9503473524027769
o3,On Different Rubric Items,Human-LLM Correlations,0.44560472797111517
o3,On Different Rubric Items,Human-LLM Correlations,0.4278799182720946
o3,On Different Rubric Items,Human-LLM Correlations,0.0047629849263207255
o3,On Different Rubric Items,Human-LLM Correlations,0.6266319888427353
o3,On Different Rubric Items,Human-LLM Correlations,0.2983812268261228
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.9999999999999961
o3,On Different Rubric Items,Human-LLM Correlations,0.44560472797111517
o3,On Different Rubric Items,Human-LLM Correlations,0.0047629849263207255
o3,On Different Rubric Items,Human-LLM Correlations,0.8798046972763413
o3,On Different Rubric Items,Human-LLM Correlations,0.49474392209946283
o3,On Different Rubric Items,Human-LLM Correlations,0.43496729301806447
o3,On Different Rubric Items,Human-LLM Correlations,0.44560472797111517
o3,On Different Rubric Items,Human-LLM Correlations,0.4278799182720946
o3,On Different Rubric Items,Human-LLM Correlations,0.0047629849263207255
o3,On Different Rubric Items,Human-LLM Correlations,0.28259051484905345
o3,On Different Rubric Items,Human-LLM Correlations,0.1509862002329312
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.6103807538786786
o3,On Different Rubric Items,Human-LLM Correlations,0.3683395727349844
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.7966380569969981
o3,On Different Rubric Items,Human-LLM Correlations,0.3265168214345683
o3,On Different Rubric Items,Human-LLM Correlations,0.3234177506613899
o3,On Different Rubric Items,Human-LLM Correlations,0.44560472797111517
o3,On Different Rubric Items,Human-LLM Correlations,0.4278799182720946
o3,On Different Rubric Items,Human-LLM Correlations,0.0047629849263207255
o3,On Different Rubric Items,Human-LLM Correlations,0.462808480878831
o3,On Different Rubric Items,Human-LLM Correlations,0.22665960753091208
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.8273624387896259
o3,On Different Rubric Items,Human-LLM Correlations,0.4145353292005978
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.902997646666238
o3,On Different Rubric Items,Human-LLM Correlations,0.3708456841439603
o3,On Different Rubric Items,Human-LLM Correlations,0.3679934686691953
o3,On Different Rubric Items,Human-LLM Correlations,0.4254838595829241
o3,On Different Rubric Items,Human-LLM Correlations,0.40768279520269507
o3,On Different Rubric Items,Human-LLM Correlations,0.005126288605039635
o3,On Different Rubric Items,Human-LLM Correlations,0.2715593967693111
o3,On Different Rubric Items,Human-LLM Correlations,0.10072132529122647
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.9508992025236428
o3,On Different Rubric Items,Human-LLM Correlations,0.4062876094559889
o3,On Different Rubric Items,Human-LLM Correlations,0.005511446436033621
o3,On Different Rubric Items,Human-LLM Correlations,0.020576587366339976
o3,On Different Rubric Items,Human-LLM Correlations,0.031379705362664746
o3,On Different Rubric Items,Human-LLM Correlations,0.004911984361259037
o3,On Different Rubric Items,Human-LLM Correlations,0.38795595951839507
o3,On Different Rubric Items,Human-LLM Correlations,0.37087070648094866
o3,On Different Rubric Items,Human-LLM Correlations,0.005237772740823053
o3,On Different Rubric Items,Human-LLM Correlations,0.40774201707818747
o3,On Different Rubric Items,Human-LLM Correlations,0.18618929919658203
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.5487158754717821
o3,On Different Rubric Items,Human-LLM Correlations,0.2748757207515466
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.012311481038675562
o3,On Different Rubric Items,Human-LLM Correlations,0.0
o3,On Different Rubric Items,Human-LLM Correlations,0.006518197213967584
o3,On Different Rubric Items,Between-LLMs Correlations,0.4098839665585877
o3,On Different Rubric Items,Between-LLMs Correlations,0.44040325574409656
o3,On Different Rubric Items,Between-LLMs Correlations,0.008994569532589576
o3,On Different Rubric Items,Between-LLMs Correlations,0.3708456841439603
o3,On Different Rubric Items,Between-LLMs Correlations,0.22262849943556368
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.3543800053851987
o3,On Different Rubric Items,Between-LLMs Correlations,0.24048585735966338
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.3922202147346991
o3,On Different Rubric Items,Between-LLMs Correlations,0.5342345497745474
o3,On Different Rubric Items,Between-LLMs Correlations,0.004509081416924567
o3,On Different Rubric Items,Between-LLMs Correlations,0.44728358157436315
o3,On Different Rubric Items,Between-LLMs Correlations,0.29723886672902755
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.40768279520269507
o3,On Different Rubric Items,Between-LLMs Correlations,0.2662450876496197
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.005126288605039635
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.4228988552604423
o3,On Different Rubric Items,Between-LLMs Correlations,0.4835279718108484
o3,On Different Rubric Items,Between-LLMs Correlations,0.008758020597053821
o3,On Different Rubric Items,Between-LLMs Correlations,0.37008291073220756
o3,On Different Rubric Items,Between-LLMs Correlations,0.228273918670084
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.33910232632744564
o3,On Different Rubric Items,Between-LLMs Correlations,0.3239898553532062
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.5342345497745471
o3,On Different Rubric Items,Between-LLMs Correlations,0.5302283550584741
o3,On Different Rubric Items,Between-LLMs Correlations,0.004526490114262764
o3,On Different Rubric Items,Between-LLMs Correlations,0.44560472797111517
o3,On Different Rubric Items,Between-LLMs Correlations,0.22991040595051815
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.4278799182720946
o3,On Different Rubric Items,Between-LLMs Correlations,0.2907349847091915
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Between-LLMs Correlations,0.0047629849263207255
o3,On Different Rubric Items,Between-LLMs Correlations,0.004251686469985993
o3,On Different Rubric Items,Between-LLMs Correlations,0.0
o3,On Different Rubric Items,Within-LLM Correlations,0.44560472797111517
o3,On Different Rubric Items,Within-LLM Correlations,0.4278799182720946
o3,On Different Rubric Items,Within-LLM Correlations,0.0047629849263207255
o3,On Different Rubric Items,Within-LLM Correlations,0.26040980826182936
o3,On Different Rubric Items,Within-LLM Correlations,0.0
o3,On Different Rubric Items,Within-LLM Correlations,0.0
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.975375551294652
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.6085304343300975
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.5342345497745474
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.006427696391236853
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.975375551294652
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.5511945403390602
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.55125893051386
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.003107189173773583
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.975375551294652
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.6984435996524386
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.4987820456684986
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.014174647038600585
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.9507983564778703
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.5456027416271736
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.5441955400321242
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.025005624824460296
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.8859061398861385
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.6216948999956736
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.37948847207696634
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.019944756269946042
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.8786939020104818
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.5930935787753742
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.632411346181046
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.5669091892377033
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.975375551294652
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.7605553571773317
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.52904208089099
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.946692355041691
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.8556232600610574
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.6891535450878602
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.5772507901306153
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.7014522784862329
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.975375551294652
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.6224170956247528
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.6021842175198838
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.9443326737764995
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3922202147346991
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.5342345497745474
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.004509081416924567
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.6367925055018077
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.4165372312092975
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.975375551294652
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3922202147346991
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.004509081416924567
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.8556232600610574
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.46613523425937947
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.47877510808894735
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3922202147346991
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.5342345497745474
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.004509081416924567
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.30414552188859095
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.1536533152563489
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.5890944377368579
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3248250329480088
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.7741959431004874
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3059386678356655
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.40583508120707185
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3922202147346991
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.5342345497745474
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.004509081416924567
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.4656630804049024
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.27704048762947514
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.804091076326848
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.45227442177614957
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.8786939020104818
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.32208160278404685
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.47541551571729157
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.37345616849382934
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.5130778311269084
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.00485301823212829
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.292272989057226
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.15256290993241747
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.9263939686862914
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.35548415953148793
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.0052176442062163144
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.02214609682339871
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.02901936908009213
